Period,Altman Z-Score
2353,38.29778667
2354,24.20563482
2355,27.37553999
2356,80.63382029
2357,38.11300741
2358,21.34856067
2359,30.82400886
2360,17.85451306
2361,10.42265683
2362,27.73741197
2363,15.78058871
2364,inf
2365,19.36319129
2366,20.55173729
2367,23.46537163
2368,15.36427451
2369,42.73872739
2370,26.03260564
2371,201.8128399
2372,17.85681356
2373,38.84266239
2374,14.58143019
2375,24.25219982
2376,134.0237848
2377,37.14762625
2378,16.87094899
2379,10.74372341
2380,17.3290221
2381,27.51285438
2382,20.12481985
2383,26.6150748
2384,22.05644008
2385,22.7108942
2386,25.05053923
2387,16.01598192
2388,29.66301401
2389,70.38039975
2390,77.16282626
2391,16.35285226
2392,34.36444425
2393,18.03049768
2394,inf
2395,64.12310511
2396,45.79346082
2397,29.96058611
2398,23.86067884
2399,25.98589145
2400,10.49389516
2401,35.33449242
2402,27.67455992
2403,19.68733899
2404,56.14436137
2405,82.21873002
2406,18.28272457
2407,29.53249021
2408,18.93781765
2409,12.65934853
2410,31.03913227
2411,13.95527596
2412,inf
2413,22.01878939
2414,38.13374518
2415,64.15498323
2416,11.26461609
2417,30.40800087
2418,36.47801974
2419,94.57463051
2420,26.93721221
2421,33.72002584
2422,12.77818177
2423,33.66034797
2424,64.61924022
2425,21.75461431
2426,20.28434949
2427,11.17129397
2428,17.97584422
2429,24.43074207
2430,46.16104724
2431,27.58102536
2432,25.63860688
2433,25.6947504
2434,30.9565325
2435,12.49776622
2436,81.8576825
2437,363.4221101
2438,18.54458546
2439,93.10490985
2440,18.66435007
2441,3.27172394
2442,15.44007388
2443,123.4378494
2444,27.73776252
2445,18.24503964
2446,57.22717792
2447,37.27755935
2448,69.51862843
2449,40.92703767
2450,27.2829226
2451,16.37129585
2452,61.57272574
2453,73.78486892
2454,30.70596554
2455,41.52626508
2456,45.02754728
2457,14.59733287
2458,30.41203162
2459,37.9098747
2460,31.58325423
2461,203.1983934
2462,65.59882972
2463,20.67514871
2464,38.20768816
2465,29.26648902
2466,50.79630189
2467,23.18348545
2468,22.2835578
2469,13.71898739
2470,31.79530172
2471,6.031782824
2472,100.0415436
2473,66.48377378
2474,127.1924193
2475,126.0389648
2476,121.8685331
2477,22.59753485
2478,25.47548935
2479,13.18661549
2480,31.90087664
2481,47.37577658
2482,81.39999626
2483,23.34481343
2484,79.08555702
2485,12.99256449
2486,23.67788527
2487,42.60312179
2488,171.1877579
2489,21.3862228
2490,54.30267221
2491,347.6029554
2492,189.8793139
2493,39.97039125
2494,38.88646879
2495,18.1332019
2496,52.86980069
2497,69.65310277
2498,124.5462326
2499,47.61273164
2500,139.2387843
2501,96.62812362
2502,123.5576212
2503,32.70588009
2504,21.26223969
2505,8.536028744
